"Format","MoTeC CSV File",,,"Workbook",""
"Venue","Michigan",,,"Worksheet",""
"Vehicle","",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","M1"
"Comment","",,,"Session",""
"Log Date","5/18/2025",,,"Origin Time","1509.989","s"
"Log Time","6:42:15 PM",,,"Start Time","1510.000","s"
"Sample Rate","20.000","Hz",,"End Time","1649.140","s"
"Duration","139.140","s",,"Start Distance","17770","m"
"Range","Lap 11",,,"End Distance","19885","m"
"Beacon Markers","           "


"Distance","Throttle Position","Engine Speed","Coolant Temperature","Inlet Manifold Pressure","ECU Battery Voltage","Vehicle Speed","Inlet Air Temperature","Fuel Mixture Aim","Engine Efficiency","Engine Charge Temperature","Engine Load","Engine Oil Pressure Sensor","Ignition Output Cut Count","Fuel Output Cut Count","Fuel Volume Compensation","Inlet Manifold Pressure Sensor","Fuel Pressure","Fuel Injector Secondary Differential Pressure","Fuel Injector Primary Differential Pressure","Fuel Injector Primary Contribution","Fuel Flow","Fuel Cylinder 1 Primary Output Volume","Fuel Cylinder 1 Primary Output Pulse Width 1","Fuel Cylinder 1 Secondary Output Pulse Width 1","Fuel Injector Primary Duty Cycle","Fuel Injector Secondary Duty Cycle","Fuel Temperature","Gear Shift Ignition Cut","Gear Shift Fuel Cut","Throttle Pedal","Throttle Pedal Sensor","Throttle Servo Bank 1 Aim","GPS_Speed","Wheel Speed Front Left","Wheel Speed Front Right","Wheel Speed Rear Left","Wheel Speed Rear Right","Brake Pressure Front","Brake Pressure Rear","Ignition Timing","Fuel Timing Primary","Fuel Timing Secondary","Gear","Engine Oil Temperature","Exhaust Lambda","Gear Shift Type","Vehicle Acceleration IMU Pitch Rate","Vehicle Acceleration IMU Roll Rate","Vehicle Acceleration IMU Yaw Rate","Vehicle Acceleration IMU Lateral Acceleration","Vehicle Acceleration IMU Longitudonal Acceleration","Vehicle Acceleration IMU Vertical Acceleration","Engine Oil Pressure","Engine Speed Limit","ECU Uptime","GPS_Time","GPS Date","ECU CPU Usage","GPS Altitude","GPS True Course","Throttle Limit","Throttle Aim","Traction Engine Speed Limit","Traction Range","Throttle Servo Position","Coolant Post Rad Temperature","Exhaust Temperature Cylinder 1","Exhaust Temperature Cylinder 2","Exhaust Temperature Cylinder 3","Exhaust Temperature Cylinder 4","Ignition Timing Compensation","Suspension Front Right Damper Travel","Suspension Front Left Damper Travel","Suspension Rear Left Damper Travel","Suspension Rear Right Damper Travel","Brake Temperature Front","Brake Temperature Rear","Traction Aim Main","GPS_Latitude","GPS_Longitude","ECU Internal Temperature","Engine Synchronisation Voltage Maximum","Engine Synchronisation Voltage Minimum","Bosch DDU11 Received Data Current Laptime","Bosch DDU11 Received Data Lap Count","Bosch DDU11 Received Data Driver Name","ETC Shutdown Circuit","ECU Acceleration X","ECU Acceleration Y","ECU Acceleration Z","Throttle Limit State","Coolant Fan 1 Enable","ECU Battery Diagnostic","ECU Sensor 5V0 A Diagnostic","ECU Sensor 5V0 B Diagnostic","ECU Sensor 5V0 C Diagnostic","ECU Sensor 6V3 Diagnostic","ECU Internal 1V2 Diagnostic","ECU Internal 1V5 Diagnostic","ECU Internal 1V8 Diagnostic","ECU Internal 2V5 Diagnostic","ECU Internal 3V3 Diagnostic","ECU Internal 7V0 Diagnostic","Engine Oil Pressure Sensor Diagnostic","Exhaust Camshaft Bank 1 Position Diagnostic","Exhaust Camshaft Bank 2 Position Diagnostic","Engine Speed Reference State","Fuel Cylinder 1 Primary Pin Diagnostic","Fuel Cylinder 1 Secondary Pin Diagnostic","Gear Shift Mode","Inlet Camshaft Bank 1 Position Diagnostic","Inlet Camshaft Bank 2 Position Diagnostic","Inlet Air Temperature Sensor Diagnostic","Throttle Pedal Sensor Main Diagnostic","Throttle Pedal Sensor Tracking Diagnostic","Throttle Pedal Sensor Diagnostic","Throttle Servo Bank 1 Diagnostic","Throttle Position Sensor Diagnostic","Throttle Servo Bank 1 Position Sensor Main Diagnostic","Throttle Servo Bank 1 Position Sensor Tracking Diagnostic","Throttle Servo Bank 1 Position Sensor Diagnostic","Throttle Servo Bank 2 Position Sensor Main Diagnostic","Throttle Servo Bank 2 Position Sensor Tracking Diagnostic","Throttle Servo Bank 2 Position Sensor Diagnostic","Throttle Servo Bank 2 Diagnostic","ETC Fault","Coolant Temperature Sensor Diagnostic","Inlet Manifold Pressure Sensor Diagnostic","Coolant Pump State","Engine Speed Pin Diagnostic","Engine Synchronisation Pin Diagnostic","Alternative Fuel Pump Pin Diagnostic","Fuel Pump Pin Diagnostic","Throttle Aim State","Gear Shift State","CAN Bus 1 Diagnostic","Ignition Timing State","Engine Speed Limit State","Gear Shift Diagnostic","Engine Speed Reference Diagnostic","Fuel Cylinder 1 Primary Output Diagnostic","Fuel Cylinder 1 Secondary Output Diagnostic","GPS Diagnostic","Ignition Output Diagnostic","ETC Shutdown Circuit Disable State","Fuel Output Diagnostic","Engine Synchronisation Position Diagnostic","Ignition Cylinder 1 Output Diagnostic"
"m","%","rpm","F","kPa","V","mph","F","LA","%","C","mg","psi","","","%Trim","kPa","psi","dkPa","dkPa","%","ml/min","ul","ms","ms","%","%","F","%","%","%","%","%","km/h","km/h","km/h","km/h","km/h","psi","psi","dBTDC","dBTDC","dBTDC","","F","LA","","deg/s","deg/s","deg/s","G","G","G","psi","rpm","s","s","","%","m","deg","%","%","rpm","%","%","F","C","C","C","C","dBTDC","in","in","in","in","F","F","%","deg","deg","C","V","V","s","","","","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""


"0","14.6","12199.1","214.3","26.6","12.859","51.7","61.1","0.89","65.2","-2.0","32.7","55.7","66","22","0.13","26.6","54.4","","445.2","100.0","81.6","3.3","1.5","0.0","15.2","","137.3","","","15.0","15.1","15.0","90.192","83.0","82.4","82.3","83.2","117.2","122.6","39.0","530.0","550.0","3","226.0","0.880","0","-5.40","-1.44","2.52","-0.14","-0.68","0.79","55.7","15000","1798.0","61758.301","170525","56.9","293.700","16.1","","15.2","15349","15.0","14.6","192.2","","","","","0.0","1.813","1.699","1.907","1.883","595.9","356.4","25.0","42.0684200000","-84.2401100000","34","4.011","-0.020","655.3","1.0","19916","0","14.26","14.00","12.00","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1"
"1","15.3","12046.1","214.4","27.3","12.859","51.2","61.1","0.89","65.5","-2.0","33.6","55.1","66","22","0.13","27.3","54.3","","443.6","100.0","82.3","3.4","1.5","0.0","16.0","","137.3","","","15.8","16.8","15.7","89.952","82.3","81.7","81.7","82.3","80.7","79.4","39.0","530.0","550.0","3","226.1","0.881","0","-0.90","-3.78","3.96","-0.12","-0.43","0.75","57.9","15000","1798.1","61758.398","170525","56.9","293.700","16.1","","15.6","15205","15.0","15.4","192.2","","","","","0.0","1.808","1.698","1.921","1.914","596.5","355.8","25.0","42.0684400000","-84.2401033000","34","4.011","-0.020","655.3","1.0","19916","0","13.64","13.65","13.10","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1"
"2","15.9","11893.1","214.4","27.9","12.859","50.7","61.2","0.89","65.8","-2.0","34.5","54.4","66","22","0.13","27.9","54.2","","441.9","100.0","83.6","3.5","1.5","0.0","16.8","","137.2","","","16.0","18.5","16.0","89.952","81.6","81.1","81.2","81.3","46.5","43.3","39.0","530.0","550.0","3","226.1","0.882","0","-0.36","-0.72","5.40","-0.03","-0.65","1.08","60.0","15000","1798.1","61758.398","170525","56.9","293.700","16.1","","16.1","15061","15.0","15.9","192.2","","","","","0.0","1.812","1.697","1.916","1.913","597.2","355.2","25.0","42.0684400000","-84.2401033000","34","4.011","-0.020","655.3","1.0","19916","0","14.02","14.07","13.21","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1"
"4","17.4","11867.3","214.4","29.5","12.865","50.2","61.2","0.89","66.2","-2.1","36.8","53.7","66","22","0.13","29.5","54.4","","440.2","100.0","86.0","3.8","1.6","0.0","17.6","","137.1","","","18.5","20.2","18.4","84.210","80.7","80.3","80.8","80.6","35.5","29.6","39.0","530.0","550.0","3","226.1","0.863","0","13.86","2.70","1.26","0.02","-0.37","0.90","57.4","15000","1798.2","61758.500","170525","56.9","293.700","16.5","","17.6","14891","15.0","16.7","192.2","","","","","0.0","1.833","1.710","1.895","1.894","597.8","354.7","25.0","42.0684617000","-84.2400950000","34","4.011","-0.020","655.3","1.0","19916","0","14.36","13.36","13.21","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1"
"5","18.8","11841.5","214.4","31.1","12.871","49.6","61.3","0.89","66.6","-2.1","39.0","53.1","66","22","0.13","31.1","54.6","","438.6","100.0","93.1","4.0","1.6","0.0","18.3","","137.1","","","19.1","21.9","19.1","84.210","79.8","79.6","80.5","79.8","21.2","16.4","39.0","530.0","550.0","3","226.1","0.843","0","5.40","-6.48","0.00","-0.15","-0.09","0.90","54.8","15000","1798.2","61758.500","170525","56.9","293.700","16.5","","19.1","14722","15.0","18.8","192.2","","","","","0.0","1.829","1.708","1.936","1.923","598.4","354.1","25.0","42.0684617000","-84.2400950000","34","4.011","-0.020","655.3","1.0","19916","0","14.10","13.71","13.79","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","16","1","11","1","1"
"6","21.7","11855.4","214.4","33.9","12.847","49.6","61.3","0.89","67.4","-2.1","43.0","52.4","66","22","0.13","33.9","54.7","","436.9","100.0","99.6","4.4","1.7","0.0","19.1","","137.0","","","20.3","23.6","20.5","82.284","79.6","79.7","80.2","80.1","14.8","8.0","39.0","530.0","550.0","3","226.1","0.855","0","-4.68","-1.26","2.34","-0.43","-0.05","0.98","55.6","15000","1798.3","61758.602","170525","56.9","293.700","16.8","","24.8","14720","15.0","19.4","192.2","","","","","0.0","1.818","1.703","1.932","1.931","599.0","353.5","25.0","42.0684817000","-84.2400867000","34","4.011","-0.020","655.3","1.0","19916","0","13.77","14.31","12.91","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","16","1","11","1","1"
"7","24.6","11869.3","214.4","36.7","12.823","49.6","61.4","0.89","68.3","-2.1","47.1","51.7","66","22","0.13","36.7","54.8","","435.2","100.0","115.3","4.8","1.8","0.0","19.9","","136.9","","","29.4","25.3","29.4","82.284","79.5","79.8","79.9","80.4","15.3","7.8","39.0","530.0","550.0","3","226.1","0.868","0","9.36","-3.24","0.00","-0.53","-0.22","1.21","56.3","15000","1798.3","61758.602","170525","56.9","293.700","16.8","","30.5","14718","15.0","24.4","192.3","","","","","0.0","1.817","1.702","1.896","1.886","599.6","352.9","25.0","42.0684817000","-84.2400867000","34","4.011","-0.020","655.3","1.0","19916","0","14.05","13.11","13.14","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","7","0","0","4","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","0","1","16","1","11","1","1"
