Format,OpenTRACK,,,,,,
Name,2025 Autocross,,,,,,
Country,USA,,,,,,
City,"Brooklyn, Michigan",,,,,,
Type,Temporary,,,,,,
Config,Open,"Closes track map if needed. Value: ""Closed"" or ""Open""",,,,,
Direction,Forward,"Flips data direction. Value: ""Forward"" or ""Backward""",,,,,
Mirror,Off,"Flips lateral acceleration. Value: ""On"" or ""Off""",,,,,
Export Frequency,50,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
m,mph,deg/s,G,m,deg,,
Paste data under this line,,,,,,,
0,0,0,0.36,294.6,0,1,1
0,0.1,0,-0.12,294.6,0,1,1
0,0.2,0,-0.29,294.6,0,1,1
0,0.3,0,-0.11,294.6,0,1,1
0,0.4,0,0.23,294.6,0,1,1
0,0.5,0,0.3,294.6,0,1,1
0,0.5,0,0.16,294.6,0,1,1
0,0.5,0,0.11,294.6,0,1,1
0,0.5,0,-0.11,294.6,0,1,1
0,0.6,0,0.09,294.6,0,1,1
0,0.6,0,-0.15,294.6,0,1,1
0,0.6,0,0.21,294.6,0,1,1
0,0.7,0,0.14,294.6,0,1,1
0,0.7,0,-0.07,294.6,0,1,1
0,0.8,0,-0.41,294.6,0,1,1
0,0.8,0,-0.16,294.6,0,1,1
0,0.8,0,0.46,294.6,0,1,1
0,0.9,0,0.14,294.6,0,1,1
0,0.9,0,-0.23,294.6,0,1,1
0,0.9,0,-0.54,294.6,0,1,1
0,0.9,0,0.26,294.6,0,1,1
0,1,0,0.04,294.6,0,1,1
0,1,0,0.03,294.6,0,1,1
0,1.1,0,-0.24,294.6,0,1,1
0,1.1,0,-0.26,294.6,0,1,1
0,1.2,0,0.22,294.6,0,1,1
0,1.2,0,0.21,294.6,0,1,1
0,1.3,0,0.16,294.6,0,1,1
0,1.3,0,-0.37,294.6,0,1,1
0,1.4,0,-0.4,294.6,0,1,1
0,1.4,0,-0.06,294.6,0,1,1
0,1.5,0,-0.17,294.6,0,1,1
0,1.5,0,-0.21,294.6,0,1,1
0,1.6,0,-0.25,294.6,0,1,1
0,1.7,0,0.17,294.6,0,1,1
0,1.7,0,-0.09,294.6,0,1,1
0,1.8,0,-0.45,294.6,0,1,1
0,1.8,0,-0.22,294.6,0,1,1
0,1.9,0,0.19,294.6,0,1,1
0,1.9,0,0.03,294.6,0,1,1
0,2,0,-0.12,294.6,0,1,1
0,2.1,0,0.17,294.6,0,1,1
0,2.1,0,0.08,294.6,0,1,1
0,2.2,0,-0.03,294.6,0,1,1
0,2.3,0,-0.07,294.6,0,1,1
0,2.4,0,-0.07,294.6,0,1,1
0,2.4,0,0.06,294.6,0,1,1
0,2.5,0,-0.01,294.6,0,1,1
0,2.5,0,0.14,294.6,0,1,1
0,2.6,0,-0.02,294.6,0,1,1
0,2.6,0,-0.06,294.6,0,1,1
0,2.7,0,0.01,294.6,0,1,1
0,2.7,0,0.09,294.6,0,1,1
0,2.8,0,0.12,294.6,0,1,1
0,2.9,0,-0.13,294.6,0,1,1
0,3,0,-0.12,294.6,0,1,1
1,3,1.44,-0.05,294.6,0,1,1
1,3.1,1.8,-0.08,294.6,0,1,1
1,3.2,2.16,0.09,294.6,0,1,1
1,3.3,2.16,0.07,294.6,0,1,1
1,3.3,2.16,-0.01,294.6,0,1,1
1,3.4,2.52,-0.06,294.6,0,1,1
1,3.5,2.88,-0.07,294.6,0,1,1
1,3.5,2.52,-0.07,294.6,0,1,1
1,3.6,2.52,0.03,294.6,0,1,1
1,3.6,2.88,0.09,294.6,0,1,1
1,3.7,2.52,0.15,294.6,0,1,1
1,3.8,2.52,-0.02,294.6,0,1,1
1,3.9,2.16,0.03,294.6,0,1,1
1,3.9,2.52,-0.05,294.6,0,1,1
1,4,3.24,-0.03,294.6,0,1,1
1,4.1,3.24,-0.05,294.6,0,1,1
1,4.1,3.24,-0.01,294.6,0,1,1
1,4.2,2.88,0,294.6,0,1,1
1,4.3,2.88,0.02,294.6,0,1,1
1,4.3,2.88,-0.03,294.6,0,1,1
1,4.4,3.24,0.12,294.6,0,1,1
1,4.4,3.24,-0.02,294.6,0,1,1
1,4.5,3.6,-0.02,294.6,0,1,1
1,4.6,3.6,0.02,294.6,0,1,1
1,4.6,3.96,0,294.6,0,1,1
1,4.7,3.96,-0.03,294.6,0,1,1
1,4.8,3.96,0,294.6,0,1,1
1,4.8,4.32,-0.05,294.6,0,1,1
1,4.9,4.32,-0.09,294.6,0,1,1
1,5,4.68,0.03,294.6,0,1,1
1,5.1,5.04,0,294.6,0,1,1
1,5.1,5.4,-0.05,294.6,0,1,1
1,5.2,5.4,-0.02,294.62,0,1,1
1,5.3,5.4,0.05,294.66,0,1,1
2,5.3,5.76,0,294.7,0,1,1
2,5.4,6.12,0.03,294.7,0,1,1
2,5.5,6.12,0.04,294.7,0,1,1
2,5.5,6.48,-0.07,294.7,0,1,1
2,5.6,6.84,0.02,294.7,0,1,1
2,5.7,7.2,-0.07,294.7,0,1,1
2,5.7,7.2,-0.05,294.7,0,1,1
2,5.8,7.56,-0.08,294.7,0,1,1
2,5.9,7.2,-0.09,294.7,0,1,1
2,5.9,7.56,-0.06,294.7,0,1,1
2,6,7.92,0.01,294.7,0,1,1
2,6.1,7.92,0.04,294.7,0,1,1
2,6.2,7.92,-0.04,294.7,0,1,1
2,6.3,7.92,-0.05,294.7,0,1,1
2,6.4,8.28,-0.1,294.7,0,1,1
2,6.5,8.28,-0.08,294.7,0,1,1
2,6.5,8.64,0.09,294.7,0,1,1
2,6.6,8.64,0.04,294.7,0,1,1
2,6.7,8.64,-0.02,294.7,0,1,1
2,6.7,9,0.01,294.7,0,1,1
2,6.8,9,0.07,294.7,0,1,1
3,6.8,9.36,-0.06,294.7,0,1,1
3,6.9,9.36,0.02,294.7,0,1,1
3,6.9,9,0.02,294.7,0,1,1
3,7,9,-0.05,294.7,0,1,1
3,7,9,-0.11,294.7,0,1,1
3,7.1,9.36,-0.17,294.7,0,1,1
3,7.2,9.36,0.02,294.7,0,1,1
3,7.3,9.72,0.07,294.7,0,1,1
3,7.4,9.72,-0.07,294.7,0,1,1
3,7.5,9.72,-0.13,294.7,0,1,1
3,7.6,9.36,-0.07,294.7,0,1,1
3,7.6,9.72,-0.03,294.7,0,1,1
3,7.6,10.08,-0.17,294.7,0,1,1
3,7.6,9.72,0,294.7,0,1,1
3,7.6,9.72,0,294.7,0,1,1
3,7.7,9.72,-0.21,294.7,0,1,1
3,7.7,10.08,-0.17,294.7,0,1,1
3,7.8,10.08,-0.1,294.7,0,1,1
4,7.8,9.72,-0.01,294.7,0,1,1
4,7.9,9.72,-0.02,294.7,0,1,1
4,8,9.36,-0.18,294.7,0,1,1
4,8.2,9.72,-0.09,294.7,0,1,1
4,8.3,10.08,-0.04,294.7,0,1,1
4,8.5,10.08,0.02,294.7,0,1,1
4,8.6,10.44,-0.14,294.7,0,1,1
4,8.7,10.8,-0.03,294.7,0,1,1
4,8.8,10.8,-0.1,294.7,0,1,1
4,8.9,10.08,-0.09,294.7,0,1,1
4,9,9,-0.12,294.7,0,1,1
4,9.1,8.28,-0.12,294.7,0,1,1
4,9.3,7.92,0.08,294.7,0,1,1
4,9.4,8.28,-0.07,294.7,0,1,1
4,9.5,8.28,-0.09,294.7,0,1,1
5,9.7,7.92,0.15,294.7,0,1,1
5,9.8,7.2,0.07,294.7,0,1,1
5,9.8,6.48,0.07,294.7,0,1,1
5,9.9,5.4,-0.12,294.7,0,1,1
