Format,OpenTRACK,,,,,,
Name,2025 Endurance,,,,,,
Country,USA,,,,,,
City,"Brooklyn, Michigan",,,,,,
Type,Temporary,,,,,,
Config,Closed,"Closes track map if needed. Value: ""Closed"" or ""Open""",,,,,
Direction,Forward,"Flips data direction. Value: ""Forward"" or ""Backward""",,,,,
Mirror,Off,"Flips lateral acceleration. Value: ""On"" or ""Off""",,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
m,mph,deg/s,G,m,deg,,
Paste data under this line,,,,,,,
0,51.7,2.52,-0.14,294.6,0,1,1
1,51.2,3.96,-0.12,294.6,0,1,1
2,50.7,5.4,-0.03,294.6,0,1,1
4,50.2,1.26,0.02,294.6,0,1,1
5,49.6,0,-0.15,294.6,0,1,1
6,49.6,2.34,-0.43,294.6,0,1,1
7,49.6,0,-0.53,294.6,0,1,1
8,49.5,0,-0.09,294.6,0,1,1
9,49.5,0,-0.15,294.6,0,1,1
10,49.5,-0.9,0.05,294.6,0,1,1
12,49.5,-2.88,0.13,294.6,0,1,1
13,50,-2.34,-0.02,294.6,0,1,1
14,50.5,-1.44,-0.22,294.6,0,1,1
15,50.4,0,0.05,294.6,0,1,1
16,50.3,-1.08,0.13,294.6,0,1,1
17,50.9,-0.72,0.09,294.6,0,1,1
18,51.4,-1.08,-0.14,294.6,0,1,1
19,51.3,0,0.16,294.6,0,1,1
21,51.2,0,0.04,294.6,0,1,1
22,51.5,0,0.26,294.6,0,1,1
23,51.8,-4.68,0.3,294.6,0,1,1
24,51.9,-4.86,0.08,294.6,0,1,1
25,52,-4.68,-0.22,294.6,0,1,1
26,52,-4.86,0.25,294.6,0,1,1
27,52,-5.4,0.42,294.6,0,1,1
29,51.9,-3.96,0.24,294.6,0,1,1
30,51.9,-5.4,-0.08,294.6,0,1,1
31,51.1,-5.04,0.11,294.6,0,1,1
32,50.3,-5.4,0.24,294.6,0,1,1
33,49.4,-4.68,0.18,294.6,0,1,1
34,48.5,-5.04,0.16,294.6,0,1,1
36,47.7,-4.32,0.2,294.6,0,1,1
37,46.8,-3.24,0.4,294.6,0,1,1
38,45.6,-1.44,0.21,294.6,0,1,1
39,44.4,-1.44,0.07,294.6,0,1,1
40,43.8,0,-0.28,294.6,0,1,1
41,43.1,0,-0.02,294.6,0,1,1
42,41.7,0,-0.29,294.6,0,1,1
43,40.4,0,-0.36,294.6,0,1,1
44,39.3,0,-0.06,294.6,0,1,1
45,38.3,0,0.26,294.6,0,1,1
46,37.7,0,0.14,294.6,0,1,1
47,37.1,0,-0.26,294.6,0,1,1
48,36.2,-0.54,0.1,294.6,0,1,1
49,35.4,-0.72,0.24,294.6,0,1,1
50,35,-1.26,-0.28,294.6,0,1,1
51,34.6,0,0.07,294.6,0,1,1
51,33.9,1.44,-0.38,294.6,0,1,1
52,33.2,8.28,-0.34,294.6,0,1,1
53,33.2,17.1,-0.48,294.6,0,1,1
54,33.1,26.64,-0.95,294.6,0,1,1
54,33.2,33.12,-0.6,294.6,0,1,1
55,33.2,34.2,-0.78,294.6,0,1,1
