x,y,R
0,0,10000
0.5,0,10000
1,0,10000
1.5,0,10000
2,0,10000
2.5,0,10000
3,0,10000
3.5,0,10000
4,0,10000
4.5,0,10000
5,0,-9.125
5.5,0,-9.125
5.9992,-0.0274,-9.125
6.4963,-0.0821,-9.125
6.9895,-0.1639,-9.125
7.4775,-0.2726,-9.125
7.9589,-0.4079,-9.125
8.4321,-0.5693,-9.125
8.8958,-0.7564,-9.125
9.3485,-0.9687,-9.125
9.7889,-1.2054,-9.125
10.2157,-1.4658,-9.125
10.6276,-1.7493,-9.125
11.0234,-2.0549,-9.125
11.4018,-2.3817,-9.125
11.7618,-2.7287,-9.125
12.1022,-3.0949,-9.125
12.422,-3.4792,-9.125
12.7203,-3.8805,-9.125
12.9962,-4.2975,-9.125
13.2488,-4.729,-9.125
13.4775,-5.1736,-9.125
13.6814,-5.6302,-9.125
13.86,-6.0972,-9.125
14.0128,-6.5733,-9.125
14.1393,-7.057,-9.125
14.2391,-7.5469,-9.125
14.3119,-8.0416,-9.125
14.3575,-8.5395,-9.125
14.3758,-9.0392,-9.125
14.3666,-9.5391,-9.125
14.3302,-10.0378,-9.125
14.2664,-10.5337,-9.125
14.1756,-11.0254,-9.125
14.058,-11.5114,-9.125
13.914,-11.9902,-9.125
13.7439,-12.4604,-9.125
13.5484,-12.9205,-9.125
13.3279,-13.3693,-9.125
13.0832,-13.8053,-9.125
12.815,-14.2273,-9.125
12.5241,-14.634,-9.125
12.2113,-15.0241,-9.125
11.8777,-15.3965,-9.125
11.5242,-15.75,-9.125
11.1518,-16.0837,-9.125
10.7617,-16.3965,-9.125
10.3551,-16.6874,-9.125
9.9331,-16.9557,-9.125
9.4971,-17.2004,-9.125
9.0483,-17.4209,-9.125
8.5881,-17.6164,-9.125
8.118,-17.7865,-9.125
7.6392,-17.9306,-9.125
7.1532,-18.0482,-9.125
6.6615,-18.139,-9.125
6.1656,-18.2028,-9.125
5.6669,-18.2393,-9.125
5.167,-18.2485,-9.125
4.6674,-18.2302,-9.125
4.1694,-18.1847,-9.125
3.6748,-18.1119,-9.125
3.1848,-18.0121,-9.125
2.7011,-17.8857,-9.125
2.225,-17.7329,-9.125
1.758,-17.5543,-9.125
1.3014,-17.3504,-9.125
0.8567,-17.1218,-9.125
0.4252,-16.8692,-9.125
0.0082,-16.5934,-9.125
-0.393,-16.2951,-9.125
-0.7774,-15.9752,-9.125
-1.1436,-15.6349,-9.125
-1.4907,-15.2749,-9.125
-1.8175,-14.8965,-9.125
-2.1231,-14.5008,-9.125
-2.4066,-14.0889,-9.125
-2.6671,-13.6621,-9.125
-2.9038,-13.2217,-9.125
-3.1161,-12.769,-9.125
-3.3032,-12.3054,-9.125
-3.4647,-11.8321,-9.125
-3.6,-11.3508,-9.125
-3.7087,-10.8628,-9.125
-3.7906,-10.3695,-9.125
-3.8453,-9.8725,-9.125
-3.8727,-9.3733,-9.125
-3.8727,-8.8733,-9.125
-3.8454,-8.374,-9.125
-3.7907,-7.877,-9.125
-3.7089,-7.3837,-9.125
-3.6002,-6.8957,-9.125
-3.465,-6.4143,-9.125
-3.3036,-5.9411,-9.125
-3.1165,-5.4774,-9.125
-2.9043,-5.0247,-9.125
-2.6676,-4.5843,-9.125
-2.4072,-4.1574,-9.125
-2.1238,-3.7455,-9.125
-1.8182,-3.3498,-9.125
